"Name","Price","Location","Total_Area","Price_per_SQFT","Description","Baths","Balcony","Number of BHK","City"
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai","₹115 L","Deepak home,Mettuppalayam",878,13100,"13a,4th Street, Ragavan colony, Ashok Nagar, Chennai-83 (near to r6 police station) More About This Property A 2 BHK Apartment for sale in Ashok Nagar, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Ashok Nagar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 115 L. Maintenance charges come to Rs 1000. Each unit has a built-up area of 878 Square feet. The carpet area is 672 Square feet. This South-f...",3,"Yes",2,"Ashok Nagar"
"Chimaera Apartments,Madambakkam, Chennai","₹49.0 L","Chimaera Apartments,Madambakkam",944,5190,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Chennai's top location, Madambakkam. It is situated on floor 1. The total number of floors in this Apartment is 2. The property price of this unit is Rs 49.0 L. Monthly maintenance costs Rs 750. The carpet area of this unit is 650 Square feet. The built-up area is 944 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to KVN Vethathiri Matric School, St.John's M...",3,"No",2,"Chennai"
"SSM Nagar","₹57.0 L","Perungalathur",1317,4330,"Situated at Alapakkam, New Perungalathur. SURROUNDED by well established schools & colleges. Tambaram eastern bypass is very close and surrounded by nature and serene.  More About This Property Looking for a good 3 BHK Apartment in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 4. Maintenance charges of this property is Rs 3108. This Apartment is available for Rs 57.0 L. This modern unit has a built-up area of 1317 Square feet. The carpet area of this Apartment is 86...",3,"No",3,"Chennai"
"ARUN EXCELLO ,Padappai, Chennai","₹25.0 L","ARUN EXCELLO ,Padappai",820,3050,"Check out this 2 BHK Apartment for sale in Padappai, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Padappai is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 2. The property's price is Rs 25.0 L. Residents in this property pay Rs 1300 towards maintenance. This property is a modern-day abode, with 820 Square feet built-up area. The unit has 2 bedr...",3,"No",2,"Chennai"
"Ramcons Dominion","₹260 L","Tirumurthy Nagar",1658,15680,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Nungambakkam. It is situated on floor 3. The total number of floors in this Apartment is 3. The property price of this unit is Rs 280 L. Monthly maintenance costs Rs 7500. The built-up area is 1658 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Lady Andal Venkatasubbarao Matriculation School, MCC Matriculation Higher Secondary Sch...",3,"Yes",3,"Nungambakkam"
"CasaGrand Vistaaz","₹108 L","Kolapakkam - Vandalur",1566,6900,"Close to Shriram IT Gateway and New Kilambakkam Bus Stand More About This Property Looking for a good 3 BHK Villa in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. This Villa is available for Rs 108 L. This modern unit has a built-up area of 1566 Square feet. This property has a good view and is South-East-facing. There are 3 bedrooms and 3 bathroom. This is a gated community. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden, Sports Facility, Swimming Pool, Clubh...",3,"No",3,"Chennai"
"penta concept enclave,Thiruverkkadu, Chennai","₹100 L","penta concept enclave,Thiruverkkadu",2350,4250,"There are 5 blocks.
And in the 5th block there are 5 Flats. 
We have custom built 2 apartments in that in the 1st and 2nd floors for our exclusive use !
Both can be used as Duplex, as internal staircase is provided.
Both can be independent also.
All cup boards and kitchen work completed.
Kitchen cum dinning cum hall is one & spacious.
Floor wise Area details: 
There are only 2 Floors.

Built area:




B4: First Floor. 
Built area - 1359 SQFT
B5: Second Floor.
Built area - 991 SQFT
Total built area- 2350 SQFT.

UDS: 

First Floor B4:
UDS 1033 SQFT.
Second Floor B5:
UDS 650 SQFT.

Total UDS     ...",4,"Yes",4,"Chennai"
"VGN Platina","₹40.0 L","MGR Nagar",868,4610,"Check out this 2 BHK Apartment for sale in Ayappakkam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Ayappakkam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 2. The property's price is Rs 40.0 L. Residents in this property pay Rs 1350 towards maintenance. This property is a modern-day abode, with 868 Square feet built-up area. The unit has 2 ...",3,"Yes",2,"Ayappakkam"
"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai","₹89.0 L","Ultra Amaar Avenue Phase 2,Choolaimedu",926,9610,"Check out this 2 BHK Apartment for sale in Choolaimedu, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Choolaimedu is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 2. The property's price is Rs 89.0 L. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 926 Square feet built-up area. The unit has 2 b...",3,"Yes",2,"Chennai"
"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai","₹63.0 L","Vallalar Kudil,Sarathi Nagar",1090,5780,"2 BHK Apartment for sale in Chennai. This property is in Saidapet, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 58.0 L. Monthly maintenance charges come to Rs 1000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1090 Square feet. ...",3,"Yes",2,"Saidapet"
"Shakthi Mangalambikai Apartments","₹90.0 L","Elim Nagar",1307,6880,"Posh and spacious 3BHK flat with 3 balconies and one covered parking at the prime location of Perungudi.Well ventilated, ""ready to occupy flat"" with excellent woodwork done in all rooms and kitchen.Just 5 mts walk from ""World Trade Center.""  Walking track and park opposite to building.  All facilities are available nearby.  5 mts walk to bus stop.  Local transport available like auto's.  Vaastu-based flat with clear title. More About This Property 3 BHK Apartment for sale in Perungudi, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. ...",3,"Yes",3,"Perungudi"
"Akshaya January","₹25.0 L","Senganmal",605,4130,"1 BHK Apartment for sale in Senganmal, Chennai. This 1 BHK unit is available in Senganmal and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Senganmal. It is on floor 10. The total number of floors is 14. The price of this Apartment is Rs 25.0 L. Residents in this project also pay monthly maintenance charges of Rs 1663. The built-up area is 605 Square feet. There are 1 bedroom and 1 bathroom. The property is East-facing. This property is at a walking dista...",2,"Yes",1,"Chennai"
"Jamans","₹49.5 L","Vaishnavi Nagar",967,5120,"Looking for a 2 BHK Apartment for sale in Chennai? Your search ends here. Buy this 2 BHK property in Chennai's finest location, Thirumullaivoyal. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 3 floors. This Apartment is available at a reasonable price of Rs 49.5 L. Maintenance charges in this property is Rs 1250. The built up area of this property is 967 Square feet. It is spacious for a family and this property has a carpet area of 865 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as ...",3,"Yes",2,"Thirumullaivoyal"
"Live Green,Kattur, Chennai","₹29.0 L","Live Green,Kattur",586,4950,"This property is a PERFECT fusion of Elegance, Quality, Comfort and Budget.
At just 500 meters away from Tambaram-Velachery Main Road
Sembakkam Bus Stop: 450 meters
Camp road: 3 Kms
Tambaram railway Station: 4.5 kms
Medavakkam main junction: 3 kms.
College: New Prince College, SIVET, MCC
School: Sankara Vidyalaya, Alpha matriculation, Kendriya Vidyalaya
Hospitals: Betheesda Health care, COSH Hospital, New Life Hospital, Hindu Mission Hospital
Park: Municipality Children’s park at 400 meters
ATM: SBI ATM at 10 meters.

Very well connected by all main roads, Airport, Railway station, Bus stop ve...",2,"No",1,"Chennai"
"Sumeru Puthur City","₹45.0 L","Tiruvancheri",1038,4330,"Looking for a good 2 BHK Apartment in Selaiyur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 2. Maintenance charges of this property is Rs 600. This Apartment is available for Rs 45.0 L. This modern unit has a built-up area of 1038 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Aarthi Hospital, Annai Theresa Hospital, and Sindu Eye Hospital. Established schools, such as Pleasant Valley Middle School, Government Primary Sc...",3,"No",2,"Selaiyur"
"Redmond Square","₹70.0 L","Sholinganallur",1500,4670,"Check out this 3 BHK Apartment for sale in Sholinganallur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Sholinganallur is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 4. The property's price is Rs 90.0 L. Residents in this property pay Rs 4500 towards maintenance. This property is a modern-day abode, with 1500 Square feet built-up area. The un...",3,"No",3,"Chennai"
"Ambrosia Apartments","₹46.0 L","Semmanjeri",1133,4060,"3 BHK Apartment for sale in Chennai. This property is in Kamaraj Nagar, which is a coveted investment location. This tastefully designed 3 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 2. The price of the Apartment is Rs 46.0 L. Monthly maintenance charges come to Rs 1200. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1133 Square f...",3,"Yes",3,"Semmancheri"
"Annamalai Colony, Saligramam,Chennai","₹89.5 L","Annamalai Colony",1100,8140,"1100 sft well maintained 2 BHK flats with 547 sft UDS, woodwork, marble floor, covered car park,very close to main road with metro,hospitals and malls, property is on 30’ road,with 24 hours water facility,etc More About This Property One of the finest property in Saligramam is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 2 storeyed building. The price of this Apartment is Rs 95.0 L. Other charges when you move into this property include maintenance, which is Rs 500. This Apartment is spacious with a built-up area of 11...",3,"Yes",2,"Saligramam"
"Vn Nattrunai ,Thirumullaivoyal, Chennai","₹45.0 L","Vn Nattrunai ,Thirumullaivoyal",1024,4390,"Check out this 3 BHK Apartment for sale in Thirumullaivoyal, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Thirumullaivoyal is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 2. The property's price is Rs 45.0 L. This property is a modern-day abode, with 1024 Square feet built-up area. The unit has 3 bedrooms and 2 bathroom. Educational institutio...",3,"No",3,"Chennai"
"Krishna Nagar, Sriperumbudur,Chennai","₹54.0 L","Krishna Nagar",1508,3580,"Brand New, nobody occupied, Maintained well, Vasthu compliant, East facing.,  ready for immediate occupation, Great place for investment, Not far from upcoming new international airport, Thirumaz isai where Vegetable market, Central bus station and metro rail are expected apart from it being selected for smart city More About This Property Check out this 3 BHK Villa for sale in Sriperumbudur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Villa is perfect for a modern-day lifestyle. Sriperumbudur is a promising location in Chennai and t...",3,"Yes",3,"Sriperumbudur"
"Jones Dawn Villas by Jones Foundations","₹87.0 L","Ponmar",1782,4880,"One of the finest property in Moolacheri is now available for sale. This is a 3 BHK Villa posted directly by owner. Make it yours now. The price of this Villa is Rs 101 L. This Villa is spacious with a built-up area of 1782 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Advent Christian Middle school, Christwood School, and Sri Shanmukha Vidhyalaya School. It is also close to good and reputed hospitals like Sri Isari Velan Mission Hospital",3,"Yes",3,"Chennai"
"Swarnambigai Nagar, Virugambakkam,Chennai","₹250 L","Swarnambigai Nagar",2500,10000,"Brokers, kindly excuse us. CMDA approved 5BHK East Facing independent house in AVM Avenue, Virugambakkam with 2BHK on ground floor, 2BHK on 1st floor and separate room and bath room in 2nd floor. The house comes with 2 car covered parking with plenty of two wheeler parking and with corporation water supplemented by borewell water. More About This Property 5 BHK Independent House for sale in Virugambakkam, Chennai. This 5 BHK unit is available in Virugambakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for ...",4,"Yes",5,"Virugambakkam"
"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai","₹70.0 L","Sai Dhanu Regency,Radhakrishnan Nagar",900,7780,"2BHK flat of around 900 square feet situated in 2nd floor. It has very good ventilation and is airy. It is walkable by 10 mins to besant nagar beach , 10 mins to thiruvanmiyur bus stand, 7  mins to vannanthurai bus stand. All electrical fittings and woodwork is done and is ready to occupy. It has spacious bed rooms and large hall cum dining. It is located in Gangai Amman Koil Street,  near TM maistry street.  More About This Property Property for sale in Adyar, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no broker...",3,"Yes",2,"Adyar"
"Khurinji Zinnia","₹26.0 L","Meenakshi Avenue",537,4840,"Check out this 1 BHK Apartment for sale in Tambaram, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 1 BHK Apartment is perfect for a modern-day lifestyle. Tambaram is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 4. The property's price is Rs 26.0 L. Residents in this property pay Rs 889 towards maintenance. This property is a modern-day abode, with 537 Square feet built-up area. The carpet-area is 3...",2,"Yes",1,"West Tambaram"
"Kottavakkam, Chennai","₹90.0 L","Kottavakkam",1292,6960,"200M from Kottivakkam Bus Stand. 100M from KFC and mainroad ECR. Patta property. River sand building, strong construction. Can accommodate another floor. Located in prime location More About This Property One of the finest property in Kottavakkam is now available for sale. This is a 2 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 90.0 L. Other charges when you move into this property include maintenance, which is Rs 100. This Independent House is spacious with a built-up area of 1292 Square feet. The carpet area is 950 Square feet....",3,"Yes",2,"Chennai"
"VGN Imperia Phase 3","₹54.0 L","Arjunamedu",1096,4930,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Thiruverkadu. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 4 floors. This Apartment is available at a reasonable price of Rs 54.0 L. Maintenance charges in this property is Rs 2192. The built up area of this property is 1096 Square feet. This property is South facing. There are 3 bedrooms and 2 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenitie...",3,"No",3,"Thiruverkkadu"
"Bharathi Nagar, Ayanavaram,Chennai","₹240 L","Bharathi Nagar",2300,10430,"One of the finest property in Ayanavaram is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 240 L. This Independent House is spacious with a built-up area of 2300 Square feet. There are 4 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Bharatiya Vidya Bhavan, Chinmaya Vidyalaya School, and CSI Bain Matriculation Higher Secondary School. It is also close to good and reputed hospitals like LIMA MULTISPECIALITY HOSPITAL, Apollo Medical...",4,"Yes",4,"Ayanavaram"
"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai","₹29.0 L","LIVEGREEN CONSTRUCTIONS,Sembakkam",586,4950,"Elegance, Quality, Comfort and within your Budget ...*Property located at just 500 meters from Thambaram-Velechery Main Road*Sembakkam Main Bust Stand @ 450 meters distance*Kamarajapuram Main Bus Stand @ 800 meters distance*Rajakilpakkam Main Junction @ 1.5 Km*Camp Road Main Junction @ 3.0Kms*Medavakam Main Junction @ 3.0Kms*Thambaram Main Railway Station @ 4.5Kms*Municipality Children's Park & Garden @ 400 meters distance*CBSE Schools at a distance 0f 1 Km*Market & Shops @ 500 meters distance*Hospitals @ 1Km*Prince College @ 1 Km , SIVET College @ 2.5Kms, MCC College @ 4KmsConcept and project...",2,"No",1,"Chennai"
"Alliance Galleria Residences","₹90.0 L","Arulmurugan Nagar",1112,8090,"One of the finest property in Old Pallavaram is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 14. It is a 14 storeyed building. The price of this Apartment is Rs 92.0 L. This Apartment is spacious with a built-up area of 1112 Square feet. There are 2 bedrooms and 2 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Health enthusiasts will enjoy the host of special facilities, such as provision for sports facility. Other facilities include Gym, Garden, Sports Facility...",3,"No",2,"Old Pallavaram"
"Veppampattu, Chennai","₹24.8 L","Veppampattu",560,4430,"Looking for a 1 BHK Independent House for sale in Chennai? Your search ends here. Buy this 1 BHK property in Chennai's finest location, Veppampattu. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 24.8 L. The built up area of this property is 560 Square feet. It is spacious for a family and this property has a carpet area of 220 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as Sri Aravindar School, ANGEL School, and Veppampattu School. Medical facil...",2,"Yes",1,"Chennai"
"Shankar Nagar, Pammal,Chennai","₹37.0 L","Shankar Nagar",856,4320,"A 2 BHK Apartment for sale in Pammal, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Pammal's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 37.0 L. Maintenance charges come to Rs 700. Each unit has a built-up area of 856 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near SARADA MATRICULATION SCHOOL, VKK Ammani Ammal Matriculation School, and Olive ...",3,"Yes",2,"Pammal"
"Naveen vanagaram,Kanchuma Puram, Vanagaram ,Chennai","₹65.0 L","Naveen vanagaram,Kanchuma Puram",1079,6020,"2 BHK Apartment for sale in Vanagaram, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Vanagaram which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Vanagaram. The property is on floor 1 and the total number of floors is 3. This 2 BHK Apartment is available at a reasonable price of Rs 65.0 L. Residents also need to pay maintenance charges of Rs 1000. It is a very spacious property, spread over 900 Square feet. The built-up area is 1079 Squar...",3,"Yes",2,"Vanagaram "
"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai","₹120 L","LAND MARVEL KARPAGAMBAL,Jeth Nagar",1100,10910,"A 2 BHK Apartment for sale in Mandaveli, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Mandaveli's most desired properties. Contact now for more information. This 2 BHK unit is on floor 0. There are 3 floors in this property. The price of this Apartment is Rs 120 L. Maintenance charges come to Rs 2000. Each unit has a built-up area of 1100 Square feet. The carpet area is 920 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Chettinad Vidhyashram School, St M...",3,"Yes",2,"Chennai"
"Krishna Apartment","₹56.0 L","Madambakkam",1432,3910,"3 BHK Apartment for sale in Madambakkam, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Madambakkam which is a promising investment destination in Chennai. This might be your chance to grab the best 3 BHK property for sale in Madambakkam. The property is on floor 0 and the total number of floors is 2. This 3 BHK Apartment is available at a reasonable price of Rs 45.0 L. Residents also need to pay maintenance charges of Rs 200. The built-up area is 1432 Square feet. This property has provision for 3 bathroom. This...",3,"Yes",3,"Chennai"
"Raghavendra Aishwaryam Flats","₹45.0 L","Urapakkam",932,4830,"2 BHK Apartment for sale in Chennai. This property is in Urapakkam, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 45.0 L. Monthly maintenance charges come to Rs 1500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 932 Square feet. ...",3,"Yes",2,"Chennai"
"Madambakkam, Chennai","₹45.0 L","Madambakkam",1500,3000,"Property for sale in Guduvancherry, Chennai. This 3 BHK Independent House is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 45.0 L. Homebuyers will also need to pay Rs 500 towards maintenance. This Independent House is a spacious unit, with carpet area of 1000 Square feet and is ideal for families. The built-up area is 1500 Square feet. The property has 3 bedrooms and 2 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Velic...",3,"Yes",3,"Chennai"
"Tambaram Mount, West Tambaram,Chennai","₹75.0 L","Tambaram Mount",1200,6250,"This is a corner property on  the main road. Buyer can add additional storeys making it a Duplex house. Away from pollution, yet near to conveniences, just 2 KM from Tambaram Station. 200 metres south of the Maduravoyal Bypass. It has a garden with useful produce. Your neighbours work for top IT MNCs and are very peace-loving. Land area 2700 sqft(60X45). House is about 15 plus years old, but well maintained and ready to occupy with no monthly maintenance.  More About This Property A 2 BHK Independent House for sale in Tambaram, Chennai. Posted by Owner, No brokerage involved. This beautifully ...",3,"Yes",2,"West Tambaram"
"Building velachery ,Anna Nagar Extension, Velachery,Chennai","₹32.0 L","Building velachery ,Anna Nagar Extension",590,5420,"A 1 BHK Apartment for sale in Velachery, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Velachery's most desired properties. Contact now for more information. This 1 BHK unit is on floor 1. There are 1 floors in this property. The price of this Apartment is Rs 32.0 L. Maintenance charges come to Rs 1000. Each unit has a built-up area of 590 Square feet. The carpet area is 590 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near DAV School, Sangford School, and A S...",2,"Yes",1,"Velachery"
